
     Program AVERAGE v.6.1 (svn rev. 13369) starts on 14Sep2017 at 12:29:12 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI & OpenMP), running on      32 processor cores
     Number of MPI processes:                 1
     Threads/MPI process:                    32
     Reading header from file  out.oncv

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1, nr2, nr3 values from input
 
     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum        5377    5377      1               295907   295907       1
 
     Reading data from file  out.oncv
    2.682325333    0.208791105   -0.073497844
    2.696010667    0.207091515   -0.073450538
    2.709696000    0.205180006   -0.073397386
    2.723381333    0.203050105   -0.073338222
    2.737066667    0.200695080   -0.073272870
    2.750752000    0.198108030   -0.073201154
    2.764437333    0.195281982   -0.073122893
    2.778122667    0.192209996   -0.073037907
    2.791808000    0.188885257   -0.072946022
    2.805493333    0.185301178   -0.072847068
    2.819178667    0.181451493   -0.072740882
    2.832864000    0.177330350   -0.072627315
    2.846549333    0.172932396   -0.072506228
    2.860234667    0.168252864   -0.072377501
    2.873920000    0.163287642   -0.072241027
    2.887605333    0.158033350   -0.072096721
    2.901290667    0.152487392   -0.071944518
    2.914976000    0.146648014   -0.071784375
    2.928661333    0.140514351   -0.071616273
    2.942346667    0.134086456   -0.071440215
    2.956032000    0.127365335   -0.071256231
    2.969717333    0.120352959   -0.071064377
    2.983402667    0.113052281   -0.070864735
    2.997088000    0.105467233   -0.070657410
    3.010773333    0.097602726   -0.070442537
    3.024458667    0.089464631   -0.070220274
    3.038144000    0.081059767   -0.069990805
    3.051829333    0.072395870   -0.069754338
    3.065514667    0.063481566   -0.069511107
    3.079200000    0.054326331   -0.069261366
    3.092885333    0.044940458   -0.069005393
    3.106570667    0.035335007   -0.068743486
    3.120256000    0.025521765   -0.068475961
    3.133941333    0.015513191   -0.068203155
    3.147626667    0.005322376   -0.067925421
    3.161312000   -0.005037018   -0.067643127
    3.174997333   -0.015550802   -0.067356657
    3.188682667   -0.026204311   -0.067066407
    3.202368000   -0.036982458   -0.066772784
    3.216053333   -0.047869783   -0.066476207
    3.229738667   -0.058850497   -0.066177102
    3.243424000   -0.069908535   -0.065875905
    3.257109333   -0.081027597   -0.065573058
    3.270794667   -0.092191196   -0.065269007
    3.284480000   -0.103382696   -0.064964203
    3.298165333   -0.114585356   -0.064659101
    3.311850667   -0.125782368   -0.064354158
    3.325536000   -0.136956892   -0.064049829
    3.339221333   -0.148092095   -0.063746573
    3.352906667   -0.159171183   -0.063444847
