
     Program AVERAGE v.6.1 (svn rev. 13369) starts on 18Sep2017 at 17: 2:33 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI & OpenMP), running on      20 processor cores
     Number of MPI processes:                 1
     Threads/MPI process:                    20
     Reading header from file  n-atom.dat

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1, nr2, nr3 values from input
 
     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum        9401    9401      1               684885   684885       1
 
     Reading data from file  n-atom.dat
    6.350304000    0.006010783    0.006000036
    6.363990000    0.006010668    0.006000303
    6.377676000    0.006010522    0.006000565
    6.391362000    0.006010353    0.006000821
    6.405048000    0.006010171    0.006001071
    6.418734000    0.006009987    0.006001314
    6.432420000    0.006009812    0.006001552
    6.446106000    0.006009657    0.006001783
    6.459792000    0.006009530    0.006002008
    6.473478000    0.006009439    0.006002226
    6.487164000    0.006009390    0.006002439
    6.500850000    0.006009386    0.006002645
    6.514536000    0.006009429    0.006002845
    6.528222000    0.006009517    0.006003040
    6.541908000    0.006009647    0.006003228
    6.555594000    0.006009813    0.006003412
    6.569280000    0.006010007    0.006003591
    6.582966000    0.006010219    0.006003765
    6.596652000    0.006010440    0.006003934
    6.610338000    0.006010659    0.006004100
    6.624024000    0.006010866    0.006004262
    6.637710000    0.006011051    0.006004420
    6.651396000    0.006011204    0.006004576
    6.665082000    0.006011319    0.006004729
    6.678768000    0.006011391    0.006004878
    6.692454000    0.006011417    0.006005026
    6.706140000    0.006011397    0.006005170
    6.719826000    0.006011331    0.006005312
    6.733512000    0.006011226    0.006005452
    6.747198000    0.006011086    0.006005589
    6.760884000    0.006010920    0.006005722
    6.774570000    0.006010737    0.006005853
    6.788256000    0.006010547    0.006005981
    6.801942000    0.006010361    0.006006106
    6.815628000    0.006010189    0.006006227
    6.829314000    0.006010041    0.006006345
    6.843000000    0.006009924    0.006006459
